,ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
ID,1.0,0.11290962029030524,0.0008454772465848094,-0.41491623802472594,-0.10022674611995228,0.1711019422190975,-0.06173132652800506,0.08159485011139109,-0.034200753889177225,-0.0024273676944152013,0.024556401903154258,-0.2386160341977078,0.12350614849503236,-0.053894328954481194,-0.09732392325503704,-0.1758655803756816,0.010876912060926046,-0.07704797470618308,0.0898195814332846,0.02860734800366545,-0.04777179825309469,0.042038540464988935,0.13403331093391016,0.05021938830954029,-0.013914959208462615,-0.22593901845298908,-0.03947412958330129,-0.0036491566961127913,-0.007564943465845905,-0.01764440921208871,0.9933876564491938
V1,0.11290962029030524,1.0,0.015506954840700877,-0.01555864216585759,0.005333536987878771,-0.009901753553050664,-0.00017692076226304067,-0.021838790636052853,0.003625640547049705,-0.009598766166571727,-0.01927825176042836,0.0035780988256380866,-0.011239876793932587,0.003361559217142723,-0.010309550845639831,-0.0029443304893820074,-0.014766366806911315,-0.023218162531961784,-0.007048222008542338,-0.00030308717902809596,0.016056785162535406,0.0008292734688378136,-0.0010974957270894839,0.017551221550974945,-0.0012889317887911373,0.0023285779700879094,-0.00201284094348979,0.004085303689133167,-0.04445880852290903,-0.23174390017439658,0.11851851937712027
V2,0.0008454772465848094,0.015506954840700877,1.0,0.015350218759566133,-0.004631901597507594,0.005220372193044042,0.004118759925933719,0.020024778251633214,0.002627856020440033,0.001864806715789918,0.01101266441292471,-0.006296854472787179,0.013002467238982907,0.0013951006990931471,0.018952451163640298,-0.003989472486903337,0.005743226157055705,0.021561220423171813,0.011933997847213067,-0.007468593873046271,0.022579255662194132,0.010194063114582808,0.0032686164228239952,0.01592271428926719,-0.004967430506938415,-0.003145000982015439,0.0007962732008401782,0.0052653968379732215,-0.05613695304429567,-0.5307373283987125,-0.008336080438080604
V3,-0.41491623802472594,-0.01555864216585759,0.015350218759566133,1.0,0.014561613777793582,-0.021869339443884687,-0.00039235525744918534,-0.023424257675395653,0.002835939851946717,-0.01738626753433808,-0.02812478448011511,0.01476732347743209,-0.03119401944814455,-0.00019778201177879525,-0.02799503864531443,-0.0007566335608730384,-0.025457000608989415,-0.04329856264196208,-0.014517959473985598,-0.0004497794375726324,0.007484445866290682,-0.0013190636837176312,0.0046156512562612745,0.001575405451635553,0.0032542192139568124,3.089099021082533e-05,0.0006713705500695297,0.003680206590278747,-0.02292510365334125,-0.2071851721659991,-0.4297866482472323
V4,-0.10022674611995228,0.005333536987878771,-0.004631901597507594,0.014561613777793582,1.0,0.009885688405075343,0.0011914690752799766,0.0112694102927147,0.0002708445447802555,0.008992832794631053,0.015209160055030613,-0.011847340808101134,0.019518254764013313,0.0008225438193356854,0.01707653218669115,0.004898888128237607,0.016184933061246815,0.029482779011840897,0.008505666001215792,0.00045906167895255653,-0.013619285962347086,-8.395144156242804e-06,-0.0027321663584629376,-0.00486611425902405,0.0017408507719798645,0.0018379824587651016,0.0028319765036425005,-0.007130634884394314,0.02582831994864573,0.09191261927620124,-0.10301743865622146
V5,0.1711019422190975,-0.009901753553050664,0.005220372193044042,-0.021869339443884687,0.009885688405075343,1.0,-0.0007007840167025525,-0.012571487104647788,-0.0007295035688846094,-0.006367107513754114,-0.015695118830035933,0.012429844213685638,-0.016961594386632278,0.00015933807398062146,-0.013393218744323957,0.004254275559194627,-0.010199401056510711,-0.032847987130088886,-0.012700031134960368,0.0036121739218528542,-0.013623867964254495,-0.01355946074056491,0.004032766373473068,-0.009856312920811296,0.004302300811156257,-0.0016105986033855377,-0.0006640577181240188,0.020649110474684783,-0.0044840896923489925,-0.3827470659254894,0.17503843463847807
V6,-0.06173132652800506,-0.00017692076226304067,0.004118759925933719,-0.00039235525744918534,0.0011914690752799766,-0.0007007840167025525,1.0,-0.010017325298224548,0.008152524100879991,-0.004148964134426436,-0.008791825385879682,0.002667117781836014,-0.008044688777118518,1.588256346111216e-05,-0.007085994266755319,0.0031663323461540265,-0.007531366503130259,-0.007004363482880916,-0.00015099880415535565,0.0006056929335065418,0.01411734829234007,0.006419133681941049,-0.004982188905039338,0.004989799863209547,-0.001185280690868202,-0.00046952989536476323,-0.003615184279529045,-0.011485912746827222,4.6030104615440644e-05,0.21038122045218996,-0.06197735877466443
V7,0.08159485011139109,-0.021838790636052853,0.020024778251633214,-0.023424257675395653,0.0112694102927147,-0.012571487104647788,-0.010017325298224548,1.0,0.0008129359398683791,-0.009075113705029458,-0.03316951546014765,0.017100373982567387,-0.027035003064042207,-0.0023280933353291076,-0.026327553454733546,-0.005088231295713985,-0.03018750388744733,-0.04967969439817957,-0.022684035307019894,0.004157558034608192,0.02737344220783933,0.00872141050405986,-0.00012328645381055975,0.0110339245885849,-0.0010836568522076928,0.00041988035164512906,0.004650837110904736,-0.03395186441487945,0.006748693363253778,0.3912394217704034,0.0846462781382402
V8,-0.034200753889177225,0.003625640547049705,0.002627856020440033,0.002835939851946717,0.0002708445447802555,-0.0007295035688846094,0.008152524100879991,0.0008129359398683791,1.0,-0.0030521441415811558,-0.0013257355077122253,-0.004210291496713114,0.00867982292175523,0.000215767785138605,0.010782520010231523,-0.001075567343617923,0.006039041760518638,0.008411134037379541,0.0015264515776215817,-0.0038373519306645846,-0.004895952854371604,0.0016722707437854605,0.0005076651605393294,0.013884910101125261,9.401992776988347e-05,-0.0032306540853151216,0.003217372540311105,-0.006134082428065679,-0.014921821441472829,-0.10277675096023332,-0.03635006395831292
V9,-0.0024273676944152013,-0.009598766166571727,0.001864806715789918,-0.01738626753433808,0.008992832794631053,-0.006367107513754114,-0.004148964134426436,-0.009075113705029458,-0.0030521441415811558,1.0,-0.009130325728299565,0.009347468685524737,-0.017162761458300455,-0.002461691488918074,-0.016007815841793997,-0.0026985993638377424,-0.01778293955868463,-0.029086773878828142,-0.013444216354991857,0.0022189907398485536,-0.0005834094842087863,-0.007212133698033721,-0.0027247354566533734,-0.00871478913643381,0.002114237435269633,-0.0014492205934297261,0.0013479030587221841,-0.0017330478187806155,0.008453710197506278,-0.04150303340129929,-0.007580182030634335
V10,0.024556401903154258,-0.01927825176042836,0.01101266441292471,-0.02812478448011511,0.015209160055030613,-0.015695118830035933,-0.008791825385879682,-0.03316951546014765,-0.0013257355077122253,-0.009130325728299565,1.0,0.019515320155109546,-0.043050421215258525,-0.00189329262400547,-0.037438158030041906,0.0003468617400311955,-0.02965872017208149,-0.06093497289529406,-0.01730892743318044,0.007515053280532246,0.004114515236488203,-0.006279908189037228,0.0015978065965210886,-0.015511698435465203,0.004705850239009662,-0.0006936688748104615,-0.0005812336393192505,-0.00513313018737977,0.0026686581925857876,-0.10312116260192176,0.029717310062703717
V11,-0.2386160341977078,0.0035780988256380866,-0.006296854472787179,0.01476732347743209,-0.011847340808101134,0.012429844213685638,0.002667117781836014,0.017100373982567387,-0.004210291496713114,0.009347468685524737,0.019515320155109546,1.0,0.02320685769116,-0.00022999644968325745,0.02757251316980415,0.0009024887529715377,0.015527720550417828,0.03355004529134478,0.011801229490053893,-0.003846580975841734,-0.0023569257190767913,-0.006371593998193195,3.15035404826616e-05,-0.0019017448371905989,-0.0030791085316906647,-0.00355525121535353,0.0011690603606870308,-0.0012174638454545167,-0.0016942994495800767,-0.0023119541500719503,-0.24705122496555065
V12,0.12350614849503236,-0.011239876793932587,0.013002467238982907,-0.03119401944814455,0.019518254764013313,-0.016961594386632278,-0.008044688777118518,-0.027035003064042207,0.00867982292175523,-0.017162761458300455,-0.043050421215258525,0.02320685769116,1.0,-0.0006266564035999252,-0.04717471419962492,-0.002211813384514865,-0.03752599253792034,-0.0632470000863009,-0.019408650525415162,0.008659929947720305,-0.0061714824497985325,0.004447147656051748,0.006262191541370008,-0.006749138099920742,0.00018321117759907056,-0.0009061032033203946,6.268283920252157e-06,-0.00026126048496223793,0.0070208978278552955,-0.007580361338989849,0.12640537076518524
V13,-0.053894328954481194,0.003361559217142723,0.0013951006990931471,-0.00019778201177879525,0.0008225438193356854,0.00015933807398062146,1.588256346111216e-05,-0.0023280933353291076,0.000215767785138605,-0.002461691488918074,-0.00189329262400547,-0.00022999644968325745,-0.0006266564035999252,1.0,-0.0012277788225767596,0.001388511328669508,0.002060379240606455,0.0021380167292847805,0.00021752073219066746,-0.0002764917500668838,-0.0050984819094709866,-0.0013573181332558497,3.7824554919581114e-05,-0.008277728346613385,-0.00188156754683965,-0.002111613660127513,-0.001993333714681582,-0.0010638786601501872,0.007712273794073418,0.001034781644702414,-0.0635954249942295
V14,-0.09732392325503704,-0.010309550845639831,0.018952451163640298,-0.02799503864531443,0.01707653218669115,-0.013393218744323957,-0.007085994266755319,-0.026327553454733546,0.010782520010231523,-0.016007815841793997,-0.037438158030041906,0.02757251316980415,-0.04717471419962492,-0.0012277788225767596,1.0,0.002867472453841848,-0.0370060616607853,-0.06054301393654489,-0.02183960120477211,0.008848113385107272,-0.0054314312416580395,0.010242445014576728,-0.0008610172526371266,0.002719932851086358,-0.0042536392882667655,0.004170874577839427,-0.0019023446339830547,0.001946536705751746,0.0014941869880105304,0.03310701090858342,-0.10409251783605676
V15,-0.1758655803756816,-0.0029443304893820074,-0.003989472486903337,-0.0007566335608730384,0.004898888128237607,0.004254275559194627,0.0031663323461540265,-0.005088231295713985,-0.001075567343617923,-0.0026985993638377424,0.0003468617400311955,0.0009024887529715377,-0.002211813384514865,0.001388511328669508,0.002867472453841848,1.0,-0.0007230108049562998,-0.003152518081279251,0.0028677332317120605,0.00033293423229445755,-0.0033052935990783333,0.001312224488262654,-0.0016826352675716224,-0.007570710792879848,0.0006422530627602602,0.0002798993408046574,0.0010810692126443787,-0.0028715030458410294,0.010331222233190841,-0.0035026801417714784,-0.18183241121377222
V16,0.010876912060926046,-0.014766366806911315,0.005743226157055705,-0.025457000608989415,0.016184933061246815,-0.010199401056510711,-0.007531366503130259,-0.03018750388744733,0.006039041760518638,-0.01778293955868463,-0.02965872017208149,0.015527720550417828,-0.03752599253792034,0.002060379240606455,-0.0370060616607853,-0.0007230108049562998,1.0,-0.05542818712575817,-0.022143735501363355,0.007966395163490339,0.0026068473016709766,0.012689354121893877,-0.00019812054666922864,-0.005069836805734239,0.0007354709897601711,-0.004085672631548074,0.0011216374569053766,-0.008073171423987956,0.016977830286891846,-0.00441892378836268,0.01214967898367276
V17,-0.07704797470618308,-0.023218162531961784,0.021561220423171813,-0.04329856264196208,0.029482779011840897,-0.032847987130088886,-0.007004363482880916,-0.04967969439817957,0.008411134037379541,-0.029086773878828142,-0.06093497289529406,0.03355004529134478,-0.0632470000863009,0.0021380167292847805,-0.06054301393654489,-0.003152518081279251,-0.05542818712575817,1.0,-0.03902149670717263,0.009196639155935365,-0.0014933325324052603,0.003763428060207804,0.002498359717880916,0.005391088498917287,-0.0022597737501268244,-0.00474791049803527,0.001256288257508989,-0.002217566346193341,-0.0035399174906434504,0.011951734869086744,-0.08048856046449543
V18,0.0898195814332846,-0.007048222008542338,0.011933997847213067,-0.014517959473985598,0.008505666001215792,-0.012700031134960368,-0.00015099880415535565,-0.022684035307019894,0.0015264515776215817,-0.013444216354991857,-0.01730892743318044,0.011801229490053893,-0.019408650525415162,0.00021752073219066746,-0.02183960120477211,0.0028677332317120605,-0.022143735501363355,-0.03902149670717263,1.0,0.0037430175627564998,0.0015323854754536422,0.0003716239222871908,-0.0011033417318257724,0.0077713885727262,-0.001614013369433802,0.0018836806302788831,-1.0187615237351947e-06,-0.004220725455950461,0.0005176592290840746,0.033584757806296224,0.08981165414129248
V19,0.02860734800366545,-0.00030308717902809596,-0.007468593873046271,-0.0004497794375726324,0.00045906167895255653,0.0036121739218528542,0.0006056929335065418,0.004157558034608192,-0.0038373519306645846,0.0022189907398485536,0.007515053280532246,-0.003846580975841734,0.008659929947720305,-0.0002764917500668838,0.008848113385107272,0.00033293423229445755,0.007966395163490339,0.009196639155935365,0.0037430175627564998,1.0,0.005959270061168011,0.0005461501109151863,-0.006349442999378317,-0.006434051829964107,0.001900092873808626,0.00028964656653781017,0.0019279966279456993,-0.006112872373195793,0.013287356942363139,-0.0511629043043773,0.030243875724707242
V20,-0.04777179825309469,0.016056785162535406,0.022579255662194132,0.007484445866290682,-0.013619285962347086,-0.013623867964254495,0.01411734829234007,0.02737344220783933,-0.004895952854371604,-0.0005834094842087863,0.004114515236488203,-0.0023569257190767913,-0.0061714824497985325,-0.0050984819094709866,-0.0054314312416580395,-0.0033052935990783333,0.0026068473016709766,-0.0014933325324052603,0.0015323854754536422,0.005959270061168011,1.0,-0.008271519877493177,0.017364868035249784,0.0541887159211791,-0.002104585600056247,0.013497307726739788,-6.553322086995486e-05,0.03051025959822697,-0.06589133899035,0.34821926368980743,-0.04935920067125955
V21,0.042038540464988935,0.0008292734688378136,0.010194063114582808,-0.0013190636837176312,-8.395144156242804e-06,-0.01355946074056491,0.006419133681941049,0.00872141050405986,0.0016722707437854605,-0.007212133698033721,-0.006279908189037228,-0.006371593998193195,0.004447147656051748,-0.0013573181332558497,0.010242445014576728,0.001312224488262654,0.012689354121893877,0.003763428060207804,0.0003716239222871908,0.0005461501109151863,-0.008271519877493177,1.0,0.011044247716630746,0.01531797122137732,0.0032171703311392754,0.008224640426523109,0.0019412471536205073,0.0062905155044119376,-0.031159287080281328,0.11407620967876346,0.04688641534804125
V22,0.13403331093391016,-0.0010974957270894839,0.0032686164228239952,0.0046156512562612745,-0.0027321663584629376,0.004032766373473068,-0.004982188905039338,-0.00012328645381055975,0.0005076651605393294,-0.0027247354566533734,0.0015978065965210886,3.15035404826616e-05,0.006262191541370008,3.7824554919581114e-05,-0.0008610172526371266,-0.0016826352675716224,-0.00019812054666922864,0.002498359717880916,-0.0011033417318257724,-0.006349442999378317,0.017364868035249784,0.011044247716630746,1.0,-0.002295139664034587,0.0015564238241569488,0.002035617359451394,-0.0034297057995818074,-0.006681061682694264,0.0027917492388865135,-0.06564010950582878,0.1442500129399404
V23,0.05021938830954029,0.017551221550974945,0.01592271428926719,0.001575405451635553,-0.00486611425902405,-0.009856312920811296,0.004989799863209547,0.0110339245885849,0.013884910101125261,-0.00871478913643381,-0.015511698435465203,-0.0019017448371905989,-0.006749138099920742,-0.008277728346613385,0.002719932851086358,-0.007570710792879848,-0.005069836805734239,0.005391088498917287,0.0077713885727262,-0.006434051829964107,0.0541887159211791,0.01531797122137732,-0.002295139664034587,1.0,-0.007131493015917896,0.007478043474699701,0.0016156003774123705,-0.033673005556386436,0.002355421708151489,-0.10979011270955868,0.05035716398867114
V24,-0.013914959208462615,-0.0012889317887911373,-0.004967430506938415,0.0032542192139568124,0.0017408507719798645,0.004302300811156257,-0.001185280690868202,-0.0010836568522076928,9.401992776988347e-05,0.002114237435269633,0.004705850239009662,-0.0030791085316906647,0.00018321117759907056,-0.00188156754683965,-0.0042536392882667655,0.0006422530627602602,0.0007354709897601711,-0.0022597737501268244,-0.001614013369433802,0.001900092873808626,-0.002104585600056247,0.0032171703311392754,0.0015564238241569488,-0.007131493015917896,1.0,-0.0004713976481763883,0.003387623286333767,-6.669575453003742e-05,0.008186688413855522,0.0046533412868691665,-0.015530343161865467
V25,-0.22593901845298908,0.0023285779700879094,-0.003145000982015439,3.089099021082533e-05,0.0018379824587651016,-0.0016105986033855377,-0.00046952989536476323,0.00041988035164512906,-0.0032306540853151216,-0.0014492205934297261,-0.0006936688748104615,-0.00355525121535353,-0.0009061032033203946,-0.002111613660127513,0.004170874577839427,0.0002798993408046574,-0.004085672631548074,-0.00474791049803527,0.0018836806302788831,0.00028964656653781017,0.013497307726739788,0.008224640426523109,0.002035617359451394,0.007478043474699701,-0.0004713976481763883,1.0,0.0021746573091690233,-0.016789117603316212,0.015340218859241405,-0.048191600415510065,-0.2314728427561546
V26,-0.03947412958330129,-0.00201284094348979,0.0007962732008401782,0.0006713705500695297,0.0028319765036425005,-0.0006640577181240188,-0.003615184279529045,0.004650837110904736,0.003217372540311105,0.0013479030587221841,-0.0005812336393192505,0.0011690603606870308,6.268283920252157e-06,-0.001993333714681582,-0.0019023446339830547,0.0010810692126443787,0.0011216374569053766,0.001256288257508989,-1.0187615237351947e-06,0.0019279966279456993,-6.553322086995486e-05,0.0019412471536205073,-0.0034297057995818074,0.0016156003774123705,0.003387623286333767,0.0021746573091690233,1.0,-0.007479709128537953,-0.0013794389570951997,-0.004199200108630482,-0.042955522938821045
V27,-0.0036491566961127913,0.004085303689133167,0.0052653968379732215,0.003680206590278747,-0.007130634884394314,0.020649110474684783,-0.011485912746827222,-0.03395186441487945,-0.006134082428065679,-0.0017330478187806155,-0.00513313018737977,-0.0012174638454545167,-0.00026126048496223793,-0.0010638786601501872,0.001946536705751746,-0.0028715030458410294,-0.008073171423987956,-0.002217566346193341,-0.004220725455950461,-0.006112872373195793,0.03051025959822697,0.0062905155044119376,-0.006681061682694264,-0.033673005556386436,-6.669575453003742e-05,-0.016789117603316212,-0.007479709128537953,1.0,-0.021680597522480808,0.013898577319301011,-0.00459997296129909
V28,-0.007564943465845905,-0.04445880852290903,-0.05613695304429567,-0.02292510365334125,0.02582831994864573,-0.0044840896923489925,4.6030104615440644e-05,0.006748693363253778,-0.014921821441472829,0.008453710197506278,0.0026686581925857876,-0.0016942994495800767,0.0070208978278552955,0.007712273794073418,0.0014941869880105304,0.010331222233190841,0.016977830286891846,-0.0035399174906434504,0.0005176592290840746,0.013287356942363139,-0.06589133899035,-0.031159287080281328,0.0027917492388865135,0.002355421708151489,0.008186688413855522,0.015340218859241405,-0.0013794389570951997,-0.021680597522480808,1.0,0.021445578412771456,-0.00793174170414444
V29,-0.01764440921208871,-0.23174390017439658,-0.5307373283987125,-0.2071851721659991,0.09191261927620124,-0.3827470659254894,0.21038122045218996,0.3912394217704034,-0.10277675096023332,-0.04150303340129929,-0.10312116260192176,-0.0023119541500719503,-0.007580361338989849,0.001034781644702414,0.03310701090858342,-0.0035026801417714784,-0.00441892378836268,0.011951734869086744,0.033584757806296224,-0.0511629043043773,0.34821926368980743,0.11407620967876346,-0.06564010950582878,-0.10979011270955868,0.0046533412868691665,-0.048191600415510065,-0.004199200108630482,0.013898577319301011,0.021445578412771456,1.0,-0.01226806634892553
V30,0.9933876564491938,0.11851851937712027,-0.008336080438080604,-0.4297866482472323,-0.10301743865622146,0.17503843463847807,-0.06197735877466443,0.0846462781382402,-0.03635006395831292,-0.007580182030634335,0.029717310062703717,-0.24705122496555065,0.12640537076518524,-0.0635954249942295,-0.10409251783605676,-0.18183241121377222,0.01214967898367276,-0.08048856046449543,0.08981165414129248,0.030243875724707242,-0.04935920067125955,0.04688641534804125,0.1442500129399404,0.05035716398867114,-0.015530343161865467,-0.2314728427561546,-0.042955522938821045,-0.00459997296129909,-0.00793174170414444,-0.01226806634892553,1.0
